127.0.0.1 - - [08/Mar/2023:18:32:53 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:02 +0530] "GET /Project/ HTTP/1.1" 200 3424
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:04 +0530] "GET /Project/assets/css/bootstrap.css HTTP/1.1" 200 132550
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:04 +0530] "GET /Project/assets/css/style.css HTTP/1.1" 200 4227
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:04 +0530] "GET /Project/assets/css/font-awesome.css HTTP/1.1" 200 25006
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:04 +0530] "GET /Project/assets/js/jquery-1.10.2.js HTTP/1.1" 200 93104
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:04 +0530] "GET /Project/assets/js/bootstrap.js HTTP/1.1" 200 60681
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:04 +0530] "GET /Project/assets/img/musical-instruments.jpg HTTP/1.1" 200 95894
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:04 +0530] "GET /Project/assets/js/custom.js HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:06 +0530] "GET /www.google-analytics.com/analytics.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:06 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Mar/2023:18:33:15 +0530] "POST /Project/AdminLogin HTTP/1.1" 404 774
